s000190286,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000191612,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000191612,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000191346,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000191346,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000190941,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000190941,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000191193,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000191193,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000191188,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000191188,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000190286,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000190790,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000190790,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000191104,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000191104,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000188789,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000189817,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000189826,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000190377,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000189263,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000189146,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000189146,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000190286,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000188789,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000189981,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000189942,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000188848,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000189263,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000181096,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000190377,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000181096,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000190819,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000190819,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000189263,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000176912,AMU007 02,TBA,6:30,6:40,8/27/2013,12/18/2013
s000178533,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000178533,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000182620,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000183127,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000183845,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000183845,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000183845,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000183845,AIM459 01,MWF,12:00,12:50,8/27/2013,12/18/2013
s000183845,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000183845,AIM337L 01,M,15:00,17:50,8/27/2013,12/18/2013
s000184897,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000184897,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000185737,AIM111 01,W,11:00,11:50,8/27/2013,12/18/2013
s000185737,AIM111 01,MF,11:00,11:50,8/27/2013,12/18/2013
s000188789,AIM459 01,MWF,12:00,12:50,8/27/2013,12/18/2013
s000188789,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000188789,AIM337L 01,M,15:00,17:50,8/27/2013,12/18/2013
s000188789,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000188848,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000188848,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000188848,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000188848,AIM337L 01,M,15:00,17:50,8/27/2013,12/18/2013
s000188848,AIM459 01,MWF,12:00,12:50,8/27/2013,12/18/2013
s000188900,AMU007 02,TBA,6:30,6:40,8/27/2013,12/18/2013
s000189140,AMU002 01,TBA,1:00,1:20,8/27/2013,12/18/2013
s000189146,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000189146,AIM337L 01,M,15:00,17:50,8/27/2013,12/18/2013
s000189146,AIM459 01,MWF,12:00,12:50,8/27/2013,12/18/2013
s000189146,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000189147,AMU007 01,TBA,6:00,6:20,8/27/2013,12/18/2013
s000189263,AIM337L 01,M,15:00,17:50,8/27/2013,12/18/2013
s000189263,AIM230L 01,T,15:00,16:50,8/27/2013,12/18/2013
s000189263,AIM459 01,MWF,12:00,12:50,8/27/2013,12/18/2013
s000189376,AIM311 01,TR,9:30,10:45,8/27/2013,12/18/2013
s000189817,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000189826,AIM230 01,MW,10:00,10:50,8/27/2013,12/18/2013
s000189942,AIM337 01,MW,9:00,9:50,8/27/2013,12/18/2013
s000189942,AIM337L 01,M,15:00,17:50,8/27/2013,12/18/2013
s000189942,AIM459 01,MWF,12:00,12:50,8/27/2013,12/18/2013
