s000188801,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000188944,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000189342,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000189848,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000189878,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000190010,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000190050,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000190143,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000190155,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000190299,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000190396,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000190624,ART202 01,M,1700,1930,1/15/2013,5/8/2013
s000168006,BA 420 A216,M,1800,2155,1/7/2013,3/9/2013
s000169683,BA 221 A212,M,1800,2230,1/7/2013,3/9/2013
s000181261,BA 420 A216,M,1800,2155,1/7/2013,3/9/2013
s000181819,BA 420 A216,M,1800,2155,1/7/2013,3/9/2013
s000182620,BA 221 A212,M,1800,2230,1/7/2013,3/9/2013
s000183547,BA 420 A216,M,1800,2155,1/7/2013,3/9/2013
s000187970,BA 420 A216,M,1800,2155,1/7/2013,3/9/2013
s000155558,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000159443,ED 251 A213,M,1800,2155,1/7/2013,3/9/2013
s000168776,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000168850,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000171908,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000174046,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000174898,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000175729,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000176832,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000177556,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000178462,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000179004,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000181539,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000182391,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000182871,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000183119,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000183409,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000183744,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000184494,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000185206,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000186068,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000187821,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188474,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188597,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188610,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188768,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000188770,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188806,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188836,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000188841,CHM114L 02,M,1400,1650,1/15/2013,5/8/2013
s000188877,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000188881,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188890,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000188899,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000188945,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188952,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000188953,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000188968,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000189008,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000189016,CHM114L 02,M,1400,1650,1/15/2013,5/8/2013
s000189063,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000189139,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000189186,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000189258,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000189288,CHM114L 02,M,1400,1650,1/15/2013,5/8/2013
s000189359,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000189361,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000189385,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000189483,CHM336L 01,M,1400,1650,1/15/2013,5/8/2013
s000189689,CHM114L 02,M,1400,1650,1/15/2013,5/8/2013
s000189951,ED 200 A316,M,1800,2155,3/11/2013,5/8/2013
s000189997,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000190150,BIO347L 01,M,1400,1650,1/15/2013,5/8/2013
s000190168,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000190173,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000190562,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000190843,BIO216L 01,M,1400,1650,1/15/2013,5/8/2013
s000157167,ED 470 01,M,1700,2050,1/15/2013,5/8/2013
s000159469,ED 470 01,M,1700,2050,1/15/2013,5/8/2013
s000169538,ED 470 01,M,1700,2050,1/15/2013,5/8/2013
s000171882,ED 470 01,M,1700,2050,1/15/2013,5/8/2013
